invoice_id,list_of_goods,customer_id
5062209,"['megaman zero 3', 'energy bar', 'pokemon violet', 'airpods', 'fresh bread', 'pancakes', 'brownies', 'energy drink', 'champagne', 'red wine', 'bluetooth headphones', 'protein bar', 'metroid fusion']",4925
4272512,"['black beer', 'bramble', 'laptop', 'pokemon violet', 'airpods', 'gadget for tiktok streaming', 'ring light', 'ratchet & clank', 'pancakes', 'energy drink', 'gums', 'protein bar']",19046
7121052,"['soup', 'shallot', 'cake', 'fresh bread', 'cream', 'carrots', 'babies food', 'ham', 'cookies', 'salad', 'tomato sauce', 'cooking oil', 'tea']",10318
5847748,"['soup', 'cooking oil', 'cereals', 'oil', 'dog food', 'deodorant', 'tomatoes', 'yogurt cake', 'pet food', 'salmon', 'olive oil', 'fresh tuna', 'tea']",27283
6336114,"['eggplant', 'mint green tea', 'oil', 'bacon', 'toilet paper', 'shrimp', 'brownies', 'pancakes', 'champagne', 'spinach', 'cologne', 'chicken', 'barbecue sauce', 'fresh tuna']",16072
7188908,"['avocado', 'portal', 'pet food', 'ratchet & clank 3', 'light mayo', 'tooth brush', 'strong cheese', 'gums', 'green tea', 'soup', 'phone charger', 'strawberries', 'tomatoes', 'mineral water', 'oil', 'asparagus', 'vegetables mix', 'melons', 'cauliflower']",5902
2940534,"['frozen vegetables', 'oil', 'portal', 'deodorant', 'vegetables mix']",7693
1579777,"['iphone 10', 'final fantasy XIX', 'frozen vegetables', 'megaman zero 4', 'mint']",11151
6467069,"['shallot', 'pokemon sword', 'babies food', 'pet food', 'minecraft', 'ratchet & clank 2']",24407
6857092,"['oatmeal', 'oil', 'chocolate bread', 'muffins', 'pet food', 'ham', 'tea', 'escalope', 'salad', 'butter', 'cooking oil', 'salt']",2271
9582309,"['whole wheat rice', 'meatballs', 'frozen smoothie', 'oil', 'ketchup', 'gums', 'toothpaste', 'cooking oil', 'green grapes', 'tea']",32396
9120702,"['dessert wine', 'cake', 'whole wheat rice', 'oil', 'asparagus', 'ground beef', 'butter']",8628
4369780,"['chocolate', 'laptop', 'frozen smoothie', 'turkey', 'gluten free bar', 'sparkling water', 'champagne', 'escalope', 'burgers', 'tomato juice']",25791
11958056,"['cake', 'napkins', 'phone charger', 'french fries', 'oil', 'ketchup', 'shower gel', 'gums', 'whole weat flour', 'muffins', 'pepper', 'burgers', 'bluetooth headphones', 'cooking oil']",9811
10422260,"['meatballs', 'oatmeal', 'beer', 'ring light', 'dog food', 'low fat yogurt', 'white wine', 'bluetooth headphones', 'chocolate bread']",30703
6197064,"['soup', 'oatmeal', 'oil', 'green beans', 'metroid fusion', 'tea']",18582
8116324,"['iphone 10', 'cottage cheese', 'final fantasy XXII', 'champagne', 'blueberries', 'fresh tuna']",2170
3106695,"['whole wheat pasta', 'napkins', 'oil', 'megaman zero 2', 'minecraft', 'toilet paper', 'cooking oil', 'tea']",29786
11588714,"['pickles', 'mashed potato', 'asparagus', 'vegetables mix', 'tomatoes', 'melons', 'corn', 'ratchet & clank 3', 'water spray', 'cauliflower']",20070
8096179,"['oatmeal', 'cottage cheese', 'pokemon violet', 'oil', 'low fat yogurt', 'gums', 'metroid fusion']",33373
7785428,"['rice', 'ratchet & clank', 'muffins', 'minecraft', 'ham', 'babies food', 'burgers']",10152
680708,"['bramble', 'airpods', 'gadget for tiktok streaming', 'pancakes', 'shrimp', 'energy drink', 'brownies', 'half-life 2', 'phone car charger', 'iMac', 'bluetooth headphones', 'ratchet & clank 2', 'green grapes']",1188
11809785,"['beer', 'oil', 'metroid prime', 'ratchet & clank 3', 'red wine', 'tomato sauce']",14601
2520602,"['soup', 'cake', 'oatmeal', 'grated cheese', 'oil', 'cream', 'muffins', 'pet food', 'eggs', 'tea']",7091
6354828,"['tooth brush', 'cotton buds', 'turkey', 'oil', 'mayonnaise', 'extra dark chocolate', 'toilet paper', 'cooking oil']",33610
2370513,"['iphone 10', 'shampoo', 'iPad', 'meatballs', 'beer', 'cooking oil', 'shrimp', 'energy drink', 'mayonnaise', 'ratchet & clank 3', 'phone car charger', 'protein bar']",20589
1535510,"['whole wheat rice', 'rice', 'cereals', 'oil', 'flax seed', 'fresh bread', 'cream', 'hand protein bar', 'muffins', 'half-life: alyx', 'mint', 'cooking oil']",22098
7261255,"['chocolate', 'mint green tea', 'barbecue sauce', 'mineral water', 'oil', 'deodorant', 'black tea', 'toilet paper', 'nonfat milk', 'cologne', 'chicken', 'cat food']",13879
6309824,"['cider', 'samsung galaxy 10', 'cereals', 'sparkling water', 'trout', 'white wine', 'olive oil']",2308
9228891,"['whole weat flour', 'muffins', 'corn', 'butter']",4817
9109962,"['cider', 'napkins', 'cereals', 'almonds', 'salad', 'cat food', 'metroid fusion']",13667
6863037,"['cake', 'oil', 'flax seed', 'black tea', 'catfish', 'avocado', 'low fat yogurt', 'hand protein bar', 'ham', 'white wine', 'ground beef', 'barbecue sauce', 'fresh tuna']",30162
5270172,"['cider', 'dessert wine', 'antioxydant juice', 'final fantasy XXII', 'white wine', 'vacuum cleaner', 'french wine', 'metroid fusion', 'salt']",27216
8083019,"['cider', 'dessert wine', 'beer', 'frozen smoothie', 'french wine', 'gluten free bar', 'final fantasy XXII', 'white wine', 'salmon', 'pepper', 'red wine', 'cooking oil']",7829
8276197,"['pickles', 'gadget for tiktok streaming', 'ratchet & clank', 'phone car charger', 'light mayo', 'fresh tuna', 'french wine', 'metroid fusion']",1066
6417904,"['cake', 'cologne', 'grated cheese', 'gums', 'metroid prime', 'sandwich', 'light mayo', 'cooking oil', 'tea']",24247
786354,"['black beer', 'oil', 'herb & pepper', 'ham', 'cologne', 'toilet paper', 'barbecue sauce']",20390
10949684,"['candy bars', 'napkins', 'oil', 'ham', 'cologne', 'chicken', 'tomato juice', 'barbecue sauce']",13737
10500042,"['black beer', 'shallot', 'eggplant', 'flax seed', 'asparagus', 'tomatoes', 'melons', 'almonds', 'toilet paper']",28051
4326346,"['iphone 10', 'whole wheat rice', 'cottage cheese', 'laptop', 'pancakes', 'salmon', 'final fantasy XX', 'bluetooth headphones', 'fresh tuna']",721
10220636,"['oil', 'fresh bread', 'cream', 'carrots', 'burgers']",17016
1786347,"['meatballs', 'megaman zero 3', 'frozen vegetables', 'white wine', 'butter', 'cauliflower', 'salt']",21585
2590741,"['cottage cheese', 'oil', 'catfish', 'megaman zero 4', 'barbecue sauce', 'cooking oil', 'tea']",20503
1561859,"['soda', 'cake', 'napkins', 'megaman zero 3', 'french fries', 'strong cheese', 'oil', 'laptop', 'deodorant', 'asparagus', 'ratchet & clank', 'metroid prime', 'ham', 'cologne', 'chicken', 'green grapes']",33155
1596217,"['whole wheat pasta', 'cooking oil', 'gadget for tiktok streaming', 'pancakes', 'energy drink', 'parmesan cheese', 'minecraft', 'portal 2', 'butter', 'protein bar', 'metroid fusion']",1043
751160,"['soup', 'meatballs', 'spaghetti', 'rice', 'oatmeal', 'oil', 'toothpaste', 'milk', 'muffins', 'cooking oil', 'tea']",27062
7283767,"['chocolate', 'chocolate bread', 'pancakes', 'brownies', 'pepper', 'ratchet & clank 3', 'fresh tuna', 'cauliflower']",33085
326870,"['vacuum cleaner', 'tomatoes', 'herb & pepper', 'beer']",31512
4946541,"['cake', 'whole wheat pasta', 'oil', 'fresh bread', 'whole weat flour', 'carrots', 'light mayo', 'tomato juice', 'tomato sauce']",9087
6661899,"['black beer', 'oatmeal', 'frozen vegetables', 'oil', 'deodorant', 'cream', 'gums', 'parmesan cheese', 'cookies', 'mint green tea']",33121
4452815,"['oatmeal', 'oil', 'pokemon scarlet', 'brownies', 'almonds', 'babies food', 'chicken', 'barbecue sauce']",13406
8924876,"['soup', 'cake', 'oatmeal', 'grated cheese', 'french fries', 'half-life 2', 'eggs', 'tea']",23897
2210357,"['avocado', 'champagne', 'nonfat milk', 'ground beef', 'metroid fusion']",5643
4080617,"['frozen smoothie', 'oil', 'fromage blanc', 'burger sauce', 'vegetables mix', 'fresh bread', 'cookies', 'butter']",1613
5056655,"['cologne', 'samsung galaxy 10', 'pokemon violet', 'nonfat milk', 'burgers', 'chicken', 'butter', 'barbecue sauce']",23658
5521854,"['black beer', 'iphone 10', 'megaman zero 3', 'antioxydant juice', 'beer', 'samsung galaxy 10', 'gadget for tiktok streaming', 'airpods', 'deodorant', 'portal', 'pancakes', 'energy drink', 'pasta', 'protein bar', 'tea']",32379
1982679,"['strong cheese', 'sparkling water', 'champagne', 'shrimp', 'nonfat milk', 'toothpaste', 'pepper', 'eggs', 'burgers', 'iMac', 'bluetooth headphones', 'fresh tuna']",18830
7206776,"['eggplant', 'rice', 'cooking oil', 'pokemon sword', 'babies food', 'escalope', 'ratchet & clank 2']",16727
3593851,"['candy bars', 'cake', 'airpods', 'ketchup', 'oil', 'light mayo', 'cooking oil', 'tea']",10592
11813460,"['mineral water', 'pancakes', 'toothpaste', 'energy drink', 'ratchet & clank 3', 'blueberries', 'phone car charger']",7995
235128,"['tooth brush', 'cereals', 'oil', 'low fat yogurt', 'cream', 'pet food']",16862
1876454,"['iphone 10', 'shallot', 'cotton buds', 'antioxydant juice', 'phone charger', 'mint green tea', 'bacon', 'flax seed', 'tomatoes', 'water spray', 'chicken']",18009
9314506,"['phone charger', 'french fries', 'oil', 'airpods', 'deodorant', 'final fantasy XX', 'megaman zero', 'pasta', 'spinach', 'mint green tea', 'barbecue sauce']",6707
11803708,"['candy bars', 'cologne', 'laptop', 'oil', 'low fat yogurt', 'fresh bread', 'gums', 'mayonnaise', 'white wine', 'cookies', 'cooking oil', 'tea']",13009
5896794,"['candy bars', 'cake', 'laptop', 'frozen smoothie', 'fresh bread', 'milk']",25760
490730,"['mineral water', 'airpods', 'pokemon violet', 'gums', 'tomatoes', 'burgers', 'toilet paper']",29770
272909,"['candy bars', 'cake', 'oil', 'fromage blanc', 'fresh bread', 'minecraft', 'babies food', 'cooking oil']",6405
6307200,"['strawberries', 'asparagus', 'nonfat milk', 'tomatoes', 'corn', 'portal 2', 'escalope', 'carrots', 'cologne', 'mint green tea', 'almonds', 'melons']",31969
10210916,"['cider', 'beer', 'airpods', 'black tea', 'white wine', 'tea']",7395
1593196,"['soup', 'mineral water', 'oil', 'green beans', 'megaman zero 2', 'hand protein bar', 'energy drink', 'ham', 'cologne', 'chicken', 'barbecue sauce', 'salt']",13051
8375284,"['cider', 'soup', 'beer', 'french fries', 'whole weat flour', 'sandwich', 'chicken', 'french wine']",19657
4818093,['beer'],4142
4781024,"['phone charger', 'frozen vegetables', 'airpods', 'seabass', 'low fat yogurt', 'pokemon scarlet', 'toothpaste', 'tomatoes', 'melons', 'escalope', 'carrots', 'cologne', 'chutney', 'ratchet & clank 2']",16133
10957950,"['napkins', 'antioxydant juice', 'oatmeal', 'turkey', 'seabass', 'fromage blanc', 'pokemon sword', 'ratchet & clank', 'milk', 'fresh bread', 'muffins', 'final fantasy XX', 'chicken']",20389
2768123,"['chocolate', 'soup', 'mineral water', 'oil', 'deodorant', 'mayonnaise', 'barbecue sauce']",21582
6880358,"['soup', 'oatmeal', 'iPad', 'cottage cheese', 'oil', 'toothpaste', 'cream', 'gums', 'olive oil', 'red wine', 'tea']",11954
3787278,"['candy bars', 'light cream', 'oil', 'deodorant', 'pasta', 'cologne', 'toilet paper', 'barbecue sauce']",17490
407005,"['frozen smoothie', 'tomatoes', 'fresh tuna']",833
10801429,"['pickles', 'mashed potato', 'asparagus', 'carrots', 'tomatoes', 'mint green tea']",2406
5251431,"['cake', 'whole wheat rice', 'napkins', 'grated cheese', 'oil', 'fromage blanc', 'white wine', 'eggs', 'cooking oil']",36
9228986,"['black beer', 'french fries', 'avocado', 'airpods', 'champagne', 'almonds', 'melons', 'muffins', 'half-life: alyx']",17147
5697651,"['tooth brush', 'cotton buds', 'napkins', 'cottage cheese', 'cereals', 'pokemon violet', 'portal', 'megaman zero', 'minecraft', 'babies food', 'escalope', 'yogurt cake', 'cookies', 'ratchet & clank 2', 'sandwich', 'cooking oil']",25728
9359131,"['iphone 10', 'yams', 'grated cheese', 'frozen vegetables', 'final fantasy XXII', 'champagne', 'brownies', 'escalope', 'bluetooth headphones']",19422
8501324,"['burger sauce', 'ratchet & clank', 'fresh bread', 'minecraft', 'ham', 'babies food', 'eggs', 'pet food', 'butter']",18614
1125960,"['whole wheat rice', 'beer', 'french fries', 'oil', 'asparagus', 'catfish', 'shrimp', 'water spray']",30315
6672810,"['black tea', 'asparagus']",21296
8636068,"['cider', 'cake', 'ketchup', 'megaman zero 4', 'sparkling water', 'champagne', 'parmesan cheese', 'pancakes', 'white wine', 'light mayo', 'megaman zero 2', 'red wine', 'protein bar', 'salt']",8096
11220727,"['gadget for tiktok streaming', 'asparagus', 'pancakes', 'pet food', 'protein bar']",31334
6285166,"['spaghetti', 'frozen smoothie', 'avocado', 'final fantasy XX', 'gluten free bar', 'strawberries', 'sparkling water', 'champagne', 'escalope', 'blueberries', 'salmon', 'yogurt cake', 'vacuum cleaner', 'bluetooth headphones', 'fresh tuna']",13175
3372248,"['candy bars', 'yams', 'megaman zero 3', 'cologne', 'ketchup', 'pokemon scarlet', 'milk', 'parmesan cheese', 'minecraft', 'babies food', 'ratchet & clank 3', 'burgers', 'water spray', 'cooking oil']",24311
